Date,AAPL,GOOGL,MSFT
2023-08-07,177.0770721435547,130.74586486816406,325.0555114746094
2023-08-08,178.01763916015625,130.61663818359375,321.05767822265625
2023-08-09,176.42359924316406,128.88702392578125,317.29620361328125
2023-08-10,176.20578002929688,128.91685485839844,317.9854736328125
2023-08-11,176.26527404785156,128.78759765625,316.0948791503906
2023-08-14,177.92092895507812,130.54705810546875,319.0784606933594
2023-08-15,175.92819213867188,129.0063018798828,316.93182373046875
2023-08-16,175.05572509765625,127.9327392578125,316.1622009277344
2023-08-17,172.5077667236328,129.1454620361328,312.6887512207031
2023-08-18,172.9935760498047,126.70013427734375,312.2940368652344
2023-08-21,174.3319854736328,127.60470581054688,317.62261962890625
2023-08-22,175.71006774902344,128.3104705810547,318.1949157714844
2023-08-23,179.56671142578125,131.58087158203125,322.6748962402344
2023-08-24,174.86737060546875,129.0063018798828,315.73785400390625
2023-08-25,177.07821655273438,129.105712890625,318.70806884765625
2023-08-28,178.6446990966797,130.2289581298828,319.41851806640625
2023-08-29,182.5409698486328,133.7677764892578,324.06622314453125
2023-08-30,186.0406951904297,135.06993103027344,324.4411926269531
2023-08-31,186.25881958007812,135.35821533203125,323.42486572265625
2023-09-01,187.83518981933594,134.8512420654297,324.31292724609375
2023-09-05,188.0731201171875,134.9606170654297,329.13824462890625
2023-09-06,181.3413543701172,133.6584014892578,328.47711181640625
2023-09-07,176.03724670410156,134.45362854003906,325.54638671875
2023-09-08,176.6519012451172,135.56695556640625,329.84869384765625
2023-09-11,177.82180786132812,136.10372924804688,333.4701843261719
2023-09-12,174.7880401611328,134.5331573486328,327.3817443847656
2023-09-13,172.71597290039062,135.89500427246094,331.6150207519531
2023-09-14,174.23284912109375,137.27671813964844,334.2201232910156
2023-09-15,173.50909423828125,136.58087158203125,325.8522644042969
2023-09-18,176.4437255859375,137.3860321044922,324.7076416015625
2023-09-19,177.5343017578125,137.217041015625,324.30303955078125
2023-09-20,173.9849853515625,132.9427032470703,316.5272216796875
2023-09-21,172.4383544921875,129.662353515625,315.3036804199219
2023-09-22,173.29100036621094,129.4735107421875,312.8170471191406
2023-09-25,174.56993103027344,130.328369140625,313.3399963378906
2023-09-26,170.4852752685547,127.80353546142578,308.0114440917969
2023-09-27,168.96836853027344,129.76177978515625,308.6528015136719
2023-09-28,169.2261505126953,131.52120971679688,309.4915466308594
2023-09-29,169.74168395996094,130.0798797607422,311.57366943359375
2023-10-02,172.25991821289062,133.37013244628906,317.5436096191406
2023-10-03,170.92149353027344,131.6405029296875,309.24493408203125
2023-10-04,172.17068481445312,134.43377685546875,314.7411804199219
2023-10-05,173.40997314453125,134.26475524902344,315.1358947753906
2023-10-06,175.96783447265625,136.7598114013672,322.9314270019531
2023-10-09,177.4550018310547,137.59481811523438,325.4575500488281
2023-10-10,176.86012268066406,137.23695373535156,324.0465087890625
2023-10-11,178.25802612304688,139.71209716796875,328.023193359375
2023-10-12,179.1602325439453,138.14151000976562,326.77984619140625
2023-10-13,177.31619262695312,136.54110717773438,323.395263671875
2023-10-16,177.18731689453125,138.27076721191406,328.24029541015625
2023-10-17,175.63075256347656,138.8870391845703,327.66790771484375
2023-10-18,174.3319854736328,137.1375274658203,325.74371337890625
2023-10-19,173.95526123046875,136.92880249023438,326.937744140625
2023-10-20,171.3973846435547,134.7916259765625,322.3492431640625
2023-10-23,171.51634216308594,135.68624877929688,324.9642028808594
2023-10-24,171.9525604248047,137.9824676513672,326.1581726074219
2023-10-25,169.6326446533203,124.86116790771484,336.16412353515625
2023-10-26,165.45872497558594,121.55101013183594,323.5531005859375
2023-10-27,166.77732849121094,121.4416732788086,325.4477233886719
2023-10-30,168.82957458496094,123.718017578125,332.8485107421875
2023-10-31,169.3054656982422,123.34028625488281,333.637939453125
2023-11-01,172.47801208496094,125.69615936279297,341.49261474609375
2023-11-02,176.04714965820312,126.7299575805664,343.712890625
2023-11-03,175.135009765625,128.3303680419922,348.1336364746094
2023-11-06,177.69290161132812,129.4735107421875,351.81427001953125
2023-11-07,180.26071166992188,130.189208984375,355.7613830566406
2023-11-08,181.321533203125,131.05401611328125,358.3960876464844
2023-11-09,180.8456573486328,129.46356201171875,355.91925048828125
2023-11-10,185.0448760986328,131.79954528808594,364.78045654296875
2023-11-13,183.45652770996094,131.30252075195312,361.83001708984375
2023-11-14,186.0773162841797,132.8234100341797,365.37249755859375
2023-11-15,186.64317321777344,133.81744384765625,365.52081298828125
2023-11-16,188.3308563232422,136.11367797851562,371.9479064941406
2023-11-17,188.31097412109375,134.50332641601562,365.6988830566406
2023-11-20,190.05816650390625,135.437744140625,373.2037048339844
2023-11-21,189.25405883789062,136.1534423828125,368.8827209472656
2023-11-22,189.91920471191406,137.66436767578125,373.6090393066406
2023-11-24,188.58892822265625,135.87510681152344,373.1937561035156
2023-11-27,188.41024780273438,135.59678649902344,374.36053466796875
2023-11-28,189.0157928466797,136.38204956054688,378.40460205078125
2023-11-29,187.99330139160156,134.1852264404297,374.59783935546875
2023-11-30,188.569091796875,131.7399139404297,374.65716552734375
2023-12-01,189.84971618652344,131.07391357421875,370.30657958984375
2023-12-04,188.05287170410156,128.4993438720703,364.9967956542969
2023-12-05,192.0138702392578,130.2091064453125,368.3388671875
2023-12-06,190.921875,129.24488830566406,364.6606140136719
2023-12-07,192.85768127441406,136.11367797851562,366.7865295410156
2023-12-08,194.28724670410156,134.1852264404297,370.0296936035156
2023-12-11,191.77560424804688,132.49539184570312,367.1325988769531
2023-12-12,193.2944793701172,131.72996520996094,370.177978515625
